id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2315,EFJO,medium_airport,Joensuu Airport,62.658815,29.619398,398,EU,FI,FI-13,Joensuu,yes,EFJO,JOE,,http://www.finavia.fi/en/joensuu/,https://en.wikipedia.org/wiki/Joensuu_Airport,
2316,EFJY,medium_airport,Jyväskylä Airport,62.399502,25.678301,459,EU,FI,FI-08,Jyväskylän Maalaiskunta,yes,EFJY,JYV,,https://www.finavia.fi/en/jyvaskyla/,https://en.wikipedia.org/wiki/Jyv%C3%A4skyl%C3%A4_Airport,
2318,EFKE,medium_airport,Kemi-Tornio Airport,65.778701782227,24.582099914551,61,EU,FI,FI-10,Kemi / Tornio,yes,EFKE,KEM,,http://www.finavia.fi/en/kemi-tornio/,https://en.wikipedia.org/wiki/Kemi-Tornio_Airport,
2319,EFKI,medium_airport,Kajaani Airport,64.2855,27.6924,483,EU,FI,FI-05,Kajaani,yes,EFKI,KAJ,,https://www.finavia.fi/en/kajaani/,https://en.wikipedia.org/wiki/Kajaani_Airport,
2321,EFKK,medium_airport,Kokkola-Pietarsaari Airport,63.721199,23.143101,84,EU,FI,FI-07,Kokkola / Kruunupyy,yes,EFKK,KOK,,https://www.finavia.fi/en/kokkola-pietarsaari/,https://en.wikipedia.org/wiki/Kokkola-Pietarsaari_Airport,Kronoby Airport
2324,EFKS,medium_airport,Kuusamo Airport,65.987602,29.239401,866,EU,FI,FI-14,Kuusamo,yes,EFKS,KAO,,http://www.finavia.fi/en/kuusamo/,https://en.wikipedia.org/wiki/Kuusamo_Airport,
2325,EFKT,medium_airport,Kittilä Airport,67.700996398926,24.846799850464,644,EU,FI,FI-10,Kittilä,yes,EFKT,KTT,,http://www.finavia.fi/en/kittila/,https://en.wikipedia.org/wiki/Kittil%C3%A4_Airport,
2326,EFKU,medium_airport,Kuopio Airport,63.007099,27.7978,323,EU,FI,FI-15,Kuopio / Siilinjärvi,yes,EFKU,KUO,,https://www.finavia.fi/en/kuopio/,https://en.wikipedia.org/wiki/Kuopio_Airport,
2329,EFLP,medium_airport,Lappeenranta Airport,61.044601,28.144743,349,EU,FI,FI-02,Lappeenranta,yes,EFLP,LPP,,https://lppairport.fi/en,https://en.wikipedia.org/wiki/Lappeenranta_Airport,
2330,EFMA,medium_airport,Mariehamn Airport,60.1222,19.898199,17,EU,FI,FI-01,Mariehamn,yes,EFMA,MHQ,,http://www.finavia.fi/en/mariehamn/,https://en.wikipedia.org/wiki/Mariehamn_Airport,
2334,EFOU,medium_airport,Oulu Airport,64.930099,25.354601,47,EU,FI,FI-14,Oulu / Oulunsalo,yes,EFOU,OUL,,https://www.finavia.fi/en/oulu/,https://en.wikipedia.org/wiki/Oulu_Airport,
2336,EFPO,medium_airport,Pori Airport,61.4617,21.799999,44,EU,FI,FI-17,Pori,yes,EFPO,POR,,http://www.finavia.fi/en/pori/,https://en.wikipedia.org/wiki/Pori_Airport,
2341,EFRO,medium_airport,Rovaniemi Airport,66.564796447754,25.830400466919,642,EU,FI,FI-10,Rovaniemi,yes,EFRO,RVN,,http://www.finavia.fi/en/rovaniemi/,https://en.wikipedia.org/wiki/Rovaniemi_Airport,
2343,EFSA,medium_airport,Savonlinna Airport,61.9431,28.945101,311,EU,FI,FI-04,Savonlinna,yes,EFSA,SVL,,http://www.finavia.fi/en/savonlinna/,https://en.wikipedia.org/wiki/Savonlinna_Airport,
2347,EFTP,medium_airport,Tampere-Pirkkala Airport,61.414101,23.604401,390,EU,FI,FI-11,Tampere / Pirkkala,yes,EFTP,TMP,,https://www.finavia.fi/en/tampere-pirkkala/,https://en.wikipedia.org/wiki/Tampere-Pirkkala_Airport,
2349,EFTU,medium_airport,Turku Airport,60.514099,22.2628,161,EU,FI,FI-19,Turku,yes,EFTU,TKU,,https://www.finavia.fi/en/turku/,https://en.wikipedia.org/wiki/Turku_Airport,
2351,EFVA,medium_airport,Vaasa Airport,63.050701,21.762199,19,EU,FI,FI-12,Vaasa,yes,EFVA,VAA,,http://www.finavia.fi/en/vaasa/,https://en.wikipedia.org/wiki/Vaasa_Airport,
2385,EGAA,large_airport,Belfast International Airport,54.6575012207,-6.2158298492400000,268,EU,GB,GB-NIR,Belfast,yes,EGAA,BFS,,http://www.belfastairport.com/,https://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove"
2387,EGAC,medium_airport,George Best Belfast City Airport,54.618099,-5.8725,15,EU,GB,GB-NIR,Belfast,yes,EGAC,BHD,,http://www.belfastcityairport.com/,https://en.wikipedia.org/wiki/George_Best_Belfast_City_Airport,
2388,EGAE,medium_airport,City of Derry Airport,55.04280090332030,-7.161109924316410,22,EU,GB,GB-NIR,Derry,yes,EGAE,LDY,,http://www.cityofderryairport.com/,https://en.wikipedia.org/wiki/City_of_Derry_Airport,Londonderry Eglinton Airport
